Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Cores,Failed
"bn-human-Jung2015_M87122310",8,3,1334670,0.03,0.03,1.095,5315808,96,0
"bn-human-Jung2015_M87122310",91,3,10107889,0.03,0.036,1.345,5244472,96,0
"bn-human-Jung2015_M87122310",1000,4,38997661,0.03,0.214,2.202,6444688,96,0
"bn-human-Jung2015_M87122310",128,4,12491924,0.03,0.04,1.442,5283284,96,0
"bn-human-Jung2015_M87122310",30000,4,83094036,0.03,3.804,46.041,24534008,96,0
"bn-human-Jung2015_M87122310",37,4,4868845,0.03,0.032,1.231,5224924,96,0
"bn-human-Jung2015_M87122310",64,4,7829943,0.03,0.035,1.919,5232236,96,0
"bn-human-Jung2015_M87122310",8,4,1339741,0.03,0.007,1.127,5321932,96,0
"bn-human-Jung2015_M87122310",91,4,9933115,0.03,0.04,1.428,5241728,96,0
"bn-human-Jung2015_M87122310",1000,5,38943852,0.03,0.144,2.323,6401668,96,0
"bn-human-Jung2015_M87122310",128,5,12774646,0.03,0.039,2.409,5258756,96,0
"bn-human-Jung2015_M87122310",30000,5,83094741,0.03,3.804,46.411,24547992,96,0
"bn-human-Jung2015_M87122310",37,5,4999501,0.03,0.032,1.232,5224608,96,0
"bn-human-Jung2015_M87122310",64,5,7530667,0.03,0.035,1.383,5229728,96,0
"bn-human-Jung2015_M87122310",8,5,1312471,0.03,0.03,1.094,5316804,96,0
"bn-human-Jung2015_M87122310",91,5,10145585,0.03,0.052,1.967,5232208,96,0
"bn-human-Jung2015_M87123142",1000,1,20546153,0.03,0.101,2.241,3933616,96,0
"bn-human-Jung2015_M87123142",128,1,7885873,0.03,0.04,0.74,3429024,96,0
"bn-human-Jung2015_M87123142",30000,1,45447652,0.03,3.82,29.429,14954056,96,0
"bn-human-Jung2015_M87123142",37,1,3627137,0.03,0.043,0.739,3278116,96,0
"bn-human-Jung2015_M87123142",64,1,5280863,0.03,0.034,0.977,3285308,96,0
"bn-human-Jung2015_M87123142",8,1,957440,0.03,0.029,0.601,3453220,96,0
"bn-human-Jung2015_M87123142",91,1,6382475,0.03,0.034,0.836,3294020,96,0
"bn-human-Jung2015_M87123142",1000,2,20662504,0.03,0.156,2.245,4025748,96,0
"bn-human-Jung2015_M87123142",128,2,7955179,0.03,0.072,0.757,3439396,96,0
"bn-human-Jung2015_M87123142",30000,2,45446131,0.03,3.82,28.577,14564688,96,0
"bn-human-Jung2015_M87123142",37,2,3665546,0.03,0.034,0.821,3403492,96,0
"bn-human-Jung2015_M87123142",64,2,5226938,0.03,0.041,0.633,3285796,96,0
"bn-human-Jung2015_M87123142",8,2,916390,0.03,0.016,0.523,3317284,96,0
"bn-human-Jung2015_M87123142",91,2,6330232,0.03,0.053,0.748,3293480,96,0
"bn-human-Jung2015_M87123142",1000,3,20591920,0.03,0.173,1.279,3934032,96,0
"bn-human-Jung2015_M87123142",128,3,7799718,0.03,0.056,0.748,3354916,96,0
"bn-human-Jung2015_M87123142",30000,3,45445387,0.03,3.82,28.551,14531748,96,0
"bn-human-Jung2015_M87123142",37,3,3558169,0.03,0.043,0.867,3279648,96,0
"bn-human-Jung2015_M87123142",64,3,5130720,0.03,0.035,0.677,3276580,96,0
"bn-human-Jung2015_M87123142",8,3,992796,0.03,0.025,0.611,3319584,96,0
"bn-human-Jung2015_M87123142",91,3,6413749,0.03,0.04,0.751,3428644,96,0
"bn-human-Jung2015_M87123142",1000,4,20929384,0.03,0.168,1.286,3978712,96,0
"bn-human-Jung2015_M87123142",128,4,7890475,0.03,0.036,1.419,3425620,96,0
"bn-human-Jung2015_M87123142",30000,4,45449793,0.03,3.82,28.88,14393404,96,0
"bn-human-Jung2015_M87123142",37,4,3718245,0.03,0.032,1.303,3411748,96,0
"bn-human-Jung2015_M87123142",64,4,5177116,0.03,0.034,2.036,3360060,96,0
"bn-human-Jung2015_M87123142",8,4,963787,0.03,0.019,1.423,3463160,96,0
"bn-human-Jung2015_M87123142",91,4,6373205,0.03,0.054,0.706,3420516,96,0
"bn-human-Jung2015_M87123142",1000,5,20470393,0.03,0.197,1.316,3970044,96,0
"bn-human-Jung2015_M87123142",128,5,8010017,0.03,0.037,1.319,3426852,96,0
"bn-human-Jung2015_M87123142",30000,5,45446899,0.03,3.82,28.406,14477268,96,0
"bn-human-Jung2015_M87123142",37,5,3532391,0.03,0.036,0.675,3270436,96,0
"bn-human-Jung2015_M87123142",64,5,5082967,0.03,0.033,0.679,3404588,96,0
"bn-human-Jung2015_M87123142",8,5,959418,0.03,0.023,1.125,3463056,96,0
"bn-human-Jung2015_M87123142",91,5,6425658,0.03,0.036,1.396,3294744,96,0
"bn-human-Jung2015_M87126525",1000,1,68858523,0.03,0.203,4.286,9622924,96,0
"bn-human-Jung2015_M87126525",128,1,27550355,0.03,0.04,2.163,8126360,96,0
"bn-human-Jung2015_M87126525",30000,1,132982721,0.03,3.795,69.109,35035760,96,0
"bn-human-Jung2015_M87126525",37,1,13291766,0.03,0.033,1.994,8085048,96,0
"bn-human-Jung2015_M87126525",64,1,18327285,0.03,0.036,2.02,8104368,96,0
"bn-human-Jung2015_M87126525",8,1,3714895,0.03,0.03,2.578,8192632,96,0
"bn-human-Jung2015_M87126525",91,1,23456150,0.03,0.046,2.111,8099540,96,0
"bn-human-Jung2015_M87126525",1000,2,69141420,0.03,0.209,3.92,9634300,96,0
"bn-human-Jung2015_M87126525",128,2,28014126,0.03,0.039,2.049,8132476,96,0
"bn-human-Jung2015_M87126525",30000,2,132983184,0.03,3.795,69.496,36594772,96,0
"bn-human-Jung2015_M87126525",37,2,13286774,0.03,0.036,1.895,8081072,96,0
"bn-human-Jung2015_M87126525",64,2,18165984,0.03,0.035,2.02,8094148,96,0
"bn-human-Jung2015_M87126525",8,2,3700106,0.03,0.03,2.375,8202164,96,0
"bn-human-Jung2015_M87126525",91,2,23284213,0.03,0.037,2.132,8106524,96,0
"bn-human-Jung2015_M87126525",1000,3,68983003,0.03,0.18,3.721,9610608,96,0
"bn-human-Jung2015_M87126525",128,3,28081936,0.03,0.057,2.562,8136120,96,0
"bn-human-Jung2015_M87126525",30000,3,132982221,0.03,3.795,70.155,36299256,96,0
"bn-human-Jung2015_M87126525",37,3,13470640,0.03,0.035,1.908,8089192,96,0
"bn-human-Jung2015_M87126525",64,3,18425513,0.03,0.079,4.505,8105724,96,0
"bn-human-Jung2015_M87126525",8,3,4086373,0.03,0.026,1.71,8197660,96,0
"bn-human-Jung2015_M87126525",91,3,23065942,0.03,0.049,2.049,8112708,96,0
"bn-human-Jung2015_M87126525",1000,4,69154703,0.03,0.157,4.415,9661608,96,0
"bn-human-Jung2015_M87126525",128,4,28511641,0.03,0.065,2.125,8130716,96,0
"bn-human-Jung2015_M87126525",30000,4,132984603,0.03,3.795,69.803,36117572,96,0
"bn-human-Jung2015_M87126525",37,4,13664637,0.03,0.038,1.949,8100588,96,0
"bn-human-Jung2015_M87126525",64,4,18349757,0.03,0.035,3.227,8084336,96,0
"bn-human-Jung2015_M87126525",8,4,3572778,0.03,0.029,1.641,8197440,96,0
"bn-human-Jung2015_M87126525",91,4,23213983,0.03,0.044,2.091,8119628,96,0
"bn-human-Jung2015_M87126525",1000,5,68802758,0.03,0.202,4.754,9694380,96,0
"bn-human-Jung2015_M87126525",128,5,27875187,0.03,0.091,2.332,8135476,96,0
"bn-human-Jung2015_M87126525",30000,5,132981946,0.03,3.795,68.45,36588896,96,0
"bn-human-Jung2015_M87126525",37,5,13597624,0.03,0.032,2.37,8074972,96,0
