Graph,N,M,HierarchyLevels,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Mtot,K,Seed,Cut,Epsilon,Imbalance,Time,TimeCoarsening,TimeSparsification,TimeInitialPartitioning,TimeUncoarsening,TimeRefinement,TimeRemaining,Cores,Timeout,Failed
clustered_N20_K5_M26_ratio10,1048576,134211766,11,26772102,5306706,1037860,198618,45284,44752,44672,44632,44612,44604,167840206,16,3,59565272,0.030000,0.029999,1.171000,0.638000,0.004000,0.013000,0.009000,0.445000,0.062000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,13,26769440,5314752,1041710,199052,149044,125300,119704,118112,118110,118106,168639408,3,3,40650000,0.030000,0.029995,1.068000,0.583000,0.004000,0.008000,0.011000,0.394000,0.068000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,10,26775118,5305572,1038560,200576,191736,190654,190472,190366,190308,190280,168675408,37,3,61589824,0.030000,0.000176,1.188000,0.581000,0.004000,0.031000,0.010000,0.493000,0.069000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,9,26768208,5302848,1039328,223446,217342,216734,216494,216396,216332,216332,168628894,64,3,62785990,0.030000,0.000122,1.248000,0.583000,0.004000,0.045000,0.011000,0.540000,0.065000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26776014,5311860,1038180,197714,39616,38490,38372,38340,38326,38322,167843636,7,3,53381617,0.030000,0.029994,1.117000,0.577000,0.004000,0.008000,0.010000,0.456000,0.062000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26771322,5314558,1038142,196372,40108,39192,39090,39070,39062,39052,167845822,8,3,54675288,0.030000,0.029999,1.128000,0.586000,0.004000,0.008000,0.011000,0.457000,0.062000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,11,26782642,5311602,1036886,197850,44992,44332,44262,44224,44202,44188,167851124,16,4,59560347,0.030000,0.029999,1.118000,0.572000,0.004000,0.012000,0.009000,0.459000,0.062000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,13,26776470,5314182,1038486,197320,146258,123732,118988,117702,116990,116988,168629846,3,4,40656487,0.030000,0.029995,1.058000,0.577000,0.004000,0.008000,0.010000,0.395000,0.064000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,10,26768650,5311256,1034838,199452,190538,189494,189294,189218,189160,189120,168662786,37,4,61588370,0.030000,0.000141,1.263000,0.573000,0.004000,0.034000,0.019000,0.563000,0.070000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,9,26766016,5306954,1038660,223740,217552,216946,216768,216670,216612,216612,168631684,64,4,62785125,0.030000,0.000244,1.243000,0.581000,0.004000,0.043000,0.011000,0.539000,0.065000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26773292,5309588,1038414,197992,40148,38944,38846,38824,38818,38812,167843056,7,4,53381130,0.030000,0.029994,1.141000,0.587000,0.004000,0.008000,0.009000,0.468000,0.065000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26771744,5307608,1039194,198416,40780,39728,39636,39612,39596,39582,167846818,8,4,54694928,0.030000,0.029999,1.066000,0.573000,0.004000,0.009000,0.010000,0.407000,0.063000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,11,26772010,5304994,1039238,197204,44770,44176,44094,44058,44044,44020,167834388,16,5,59554190,0.030000,0.029999,1.135000,0.587000,0.004000,0.011000,0.010000,0.457000,0.066000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,13,26765326,5309750,1039070,197446,148332,125970,120630,119310,119308,119308,168634140,3,5,40649110,0.030000,0.029995,1.051000,0.591000,0.004000,0.008000,0.011000,0.373000,0.064000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,10,26766946,5308664,1038678,199752,190910,189840,189614,189524,189464,189420,168664578,37,5,61590574,0.030000,0.000106,1.247000,0.583000,0.004000,0.031000,0.009000,0.556000,0.064000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,9,26775842,5314992,1042396,224116,217922,217280,217070,216974,216922,216922,168655280,64,5,62785721,0.030000,0.000244,1.240000,0.574000,0.004000,0.049000,0.010000,0.536000,0.067000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26765122,5306808,1038738,199162,40522,39448,39354,39326,39310,39302,167837454,7,5,53374571,0.030000,0.029994,1.139000,0.580000,0.004000,0.008000,0.009000,0.478000,0.060000,32,0,0
clustered_N20_K5_M26_ratio10,1048576,134211766,12,26774748,5317172,1039014,198254,41068,39962,39842,39824,39820,39812,167860894,8,5,54678050,0.030000,0.029999,1.108000,0.584000,0.004000,0.010000,0.009000,0.434000,0.067000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,13,214569264,42774092,8487800,1667296,1489990,323092,321218,321014,320978,320956,1345301162,16,1,486923986,0.030000,0.029999,8.048000,4.415000,0.018000,0.032000,0.022000,3.200000,0.361000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,15,214529984,42770130,8490468,1665700,1202290,545160,274026,222842,210050,202696,1344869446,3,1,337039690,0.030000,0.029999,7.238000,4.291000,0.016000,0.007000,0.021000,2.520000,0.383000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,11,214569818,42792752,8493886,1668880,275366,268336,267554,267378,267302,267256,1343148394,37,1,501916296,0.030000,0.027823,8.760000,4.440000,0.017000,0.045000,0.020000,3.972000,0.266000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,11,214517498,42779190,8486160,1666520,305540,300924,300440,300160,300000,299910,1343298828,64,1,517697188,0.030000,0.029999,8.203000,4.376000,0.017000,0.050000,0.026000,3.353000,0.381000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,14,214550558,42781442,8491732,1663670,1359630,1005758,878926,859472,854784,854780,1350462486,7,1,439062902,0.030000,0.029999,7.630000,4.404000,0.017000,0.027000,0.022000,2.791000,0.369000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,14,214560042,42781552,8497628,1670286,1393968,1098334,994336,973608,965886,964114,1351498848,8,1,449313643,0.030000,0.029999,7.672000,4.430000,0.017000,0.034000,0.024000,2.810000,0.357000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,13,214522290,42785886,8497638,1672578,1495998,323900,322108,321908,321882,321862,1345294210,16,2,486939491,0.030000,0.029999,8.069000,4.408000,0.018000,0.032000,0.022000,3.200000,0.389000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,15,214542262,42776644,8480784,1663994,1190740,529726,273650,221724,204548,199938,1344800650,3,2,337038710,0.030000,0.029999,6.981000,4.316000,0.017000,0.006000,0.023000,2.226000,0.393000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,11,214526230,42777722,8490564,1670370,274820,267752,266976,266796,266698,266622,1343083774,37,2,501918567,0.030000,0.027814,8.848000,4.391000,0.018000,0.049000,0.023000,3.979000,0.388000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,11,214536984,42790334,8491512,1667344,305554,300924,300336,300094,299944,299866,1343335318,64,2,510984068,0.030000,0.015915,7.965000,4.369000,0.017000,0.057000,0.025000,3.104000,0.393000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,14,214504946,42768808,8483676,1664188,1368296,1011352,873796,851702,848568,844940,1350342670,7,2,439011254,0.030000,0.029999,8.125000,4.326000,0.017000,0.032000,0.024000,3.339000,0.387000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,14,214591894,42808482,8498088,1669568,1389966,1093706,994134,972722,970290,970284,1351582868,8,2,449266914,0.030000,0.029999,7.900000,4.409000,0.017000,0.033000,0.025000,3.042000,0.374000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,13,214528196,42775106,8497422,1669180,1492110,322636,320908,320742,320706,320688,1345272342,16,3,487030538,0.030000,0.029999,7.678000,4.409000,0.018000,0.031000,0.023000,2.808000,0.389000,32,0,0
clustered_N22_K5_M29_ratio10,4194304,1073742638,15,214531500,42784602,8490152,1665090,1211506,530652,266442,222766,209784,202070,1344855292,3,3,337009565,0.030000,0.029999,7.194000,4.358000,0.018000,0.006000,0.020000,2.407000,0.385000,32,0,0
